stamp_s,x_m,y_m,yaw_rad,ot_overlap
14.549999674,89629.7911,43131.5274,2.024231784688427,0
14.649999672,89629.6739,43131.7696,2.0413371121551327,0
14.699999671,89629.6193,43131.8945,2.051584612087371,0
14.74999967,89629.5569,43132.0195,2.0629522832752487,0
14.799999669,89629.4944,43132.1443,2.0729663291746228,0
14.849999668,89629.424,43132.2735,2.081922107309891,0
14.899999666,89629.3613,43132.4023,2.0904031747764042,0
14.949999665,89629.2913,43132.5313,2.0979498155668246,0
15.049999663,89629.1428,43132.793000000005,2.108805959463977,0
15.19999966,89628.9006,43133.1952,2.125762717218658,0
15.249999659,89628.8225,43133.3321,2.1304486698166802,0
15.299999658,89628.7365,43133.4728,2.1350111715898503,0
15.449999654,89628.471,43133.8943,2.1490233658598226,0
15.499999653,89628.377,43134.0351,2.1538130876788073,0
15.549999652,89628.2833,43134.1797,2.158636868064063,0
15.599999651000001,89628.1894,43134.324400000005,2.163785037909571,0
15.699999649,89627.9943,43134.6132,2.173302926769828,0
15.749999647,89627.8928,43134.761600000005,2.1767298952024574,0
15.799999646,89627.79119999999,43134.9101,2.1797820531077803,0
15.849999645,89627.6898,43135.058300000004,2.1821040100826905,0
15.899999644,89627.5803,43135.207200000004,2.184568833243971,0
15.949999643,89627.4788,43135.359300000004,2.186474553960279,0
15.999999642,89627.3691,43135.5155,2.187425803663894,0
16.049999641,89627.2599,43135.671800000004,2.187927553956755,0
16.199999637,89626.9161,43136.1445,2.1882348162937784,0
16.249999636,89626.7989,43136.3046,2.1881379477972676,0
16.299999635,89626.27034392433,43136.68007482019,2.1882718677586364,0
16.449999632,89625.92178568129,43137.182139598466,2.1866188199862857,0
16.499999631,89625.8041958059,43137.34983737584,2.1850404002396475,0
16.54999963,89625.67525351609,43137.518655494714,2.183037743530386,0
16.599999628,89625.56434016775,43137.695424387675,2.179333192506423,0
16.649999627,89625.43508662531,43137.867790759985,2.1744212512036114,0
16.749999625,89625.19766660636,43138.230646579286,2.1637021008325577,0
16.799999624,89625.08438168964,43138.413020889806,2.1578570797304732,0
16.849999623,89624.95722468247,43138.598997556044,2.151878244152777,0
