s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
112.0123896,89641.7965048,43135.9968328,-1.7235843,0.2799789,9.1666667,0.0000000
112.8976720,89642.6815944,43135.9783557,-1.4544699,0.2974037,9.1666667,0.0000000
113.7749851,89643.5305867,43136.1994672,-1.1993819,0.2598069,9.1666667,0.0000000
114.7030628,89644.3530820,43136.6293854,-0.9854169,0.2184646,9.1666667,0.0000000
115.6855589,89645.1149692,43137.2497293,-0.7819893,0.2024631,9.1666667,0.0000000
116.6220697,89645.6975088,43137.9830097,-0.5968888,0.1586729,9.1666667,0.0000000
117.6709046,89646.2281168,43138.8877250,-0.4669687,0.1285070,9.1666667,0.0000000
118.7267501,89646.6431028,43139.8585990,-0.3264225,0.1417837,9.1666667,0.0000000
119.7533241,89646.8937962,43140.8540924,-0.1717156,0.1365110,9.1666667,0.0000000
120.8304085,89647.0015986,43141.9257684,-0.0392500,0.1180981,9.1666667,0.0000000
121.8549245,89646.9761015,43142.9499670,0.0764794,0.1054942,9.1666667,0.0000000
122.8950684,89646.8440552,43143.9816952,0.1785596,0.0959651,9.1666667,0.0000000
123.9665610,89646.6015272,43145.0253794,0.2791228,0.0940559,9.1666667,0.0000000
125.0012669,89646.2645463,43146.0036739,0.3766600,0.0868115,9.1666667,0.0000000
126.0173447,89645.8479900,43146.9304398,0.4571544,0.0594059,9.1666667,0.0000000
127.0277906,89645.3705885,43147.8209950,0.4970475,0.0417062,9.1666667,0.0000000
128.0924547,89644.8585220,43148.7544282,0.5436993,0.0493049,9.1666667,0.0000000
129.0801638,89644.3098914,43149.5757526,0.5982396,0.0337509,9.1666667,0.0000000
130.0549905,89643.7532927,43150.3760557,0.6099367,0.0059955,9.1666667,0.0000000
131.0292245,89643.1934419,43151.1733630,0.6099251,-0.0026122,9.1666667,0.0000000
132.0157939,89642.6301354,43151.9833044,0.6048146,-0.0053246,9.1666667,0.0000000
132.9938432,89642.0763455,43152.7894664,0.5994642,0.0111364,9.1666667,0.0000000
133.9713019,89641.5268407,43153.5978413,0.6265920,0.0143696,9.1666667,0.0000000
134.9848873,89640.9093144,43154.4015929,0.6280747,-0.0137113,9.1666667,0.0000000
135.9786211,89640.3478039,43155.2214787,0.5990690,-0.0159083,9.1666667,0.0000000
136.9755413,89639.7868379,43156.0455946,0.5964068,0.0230513,9.1666667,0.0000000
137.9826826,89639.2221770,43156.8795561,0.6452652,0.0286181,9.1666667,0.0000000
139.0730225,89638.5268522,43157.7194159,0.6564327,-0.0109806,9.1666667,0.0000000
140.1062408,89637.9270226,43158.5606914,0.6219473,-0.0207387,9.1666667,0.0000000
141.1480718,89637.3178932,43159.4058974,0.6133988,0.0013106,9.1666667,0.0000000
142.1850017,89636.7304578,43160.2603816,0.6246716,0.0220908,9.1666667,0.0000000
143.2402685,89636.0946135,43161.1025752,0.6596170,0.0221823,9.1666667,0.0000000
144.3422032,89635.4085998,43161.9649239,0.6725234,0.0099335,9.1666667,0.0000000
145.4310924,89634.7298138,43162.8163517,0.6813796,0.0101435,9.1666667,0.0000000
146.5508245,89634.0175130,43163.6803121,0.6949266,0.0085367,9.1666667,0.0000000
147.6346904,89633.3188075,43164.5089109,0.7001910,0.0017452,9.1666667,0.0000000
148.7528655,89632.5985977,43165.3642548,0.6987696,-0.0020876,9.1666667,0.0000000
149.8703284,89631.8806758,43166.2205909,0.6955240,-0.0131978,9.1666667,0.0000000
150.9765555,89631.1736877,43167.0714177,0.6694218,-0.0198779,9.1666667,0.0000000
152.0574129,89630.5239152,43167.9351587,0.6520493,-0.0058501,9.1666667,-6.7165489
153.1430399,89629.8590620,43168.7933872,0.6567476,0.0035211,8.3333333,0.0000000
154.1936802,89629.2196332,43169.6270393,0.6595713,0.0127604,8.3333333,0.0000000
155.2092822,89628.5929321,43170.4262221,0.6831137,0.0414689,8.3333333,0.0000000
156.1792577,89627.9665295,43171.1668112,0.7419110,-0.0031557,8.3333333,0.0000000
157.1375924,89627.2910239,43171.8465889,0.6770284,-0.0164411,8.3333333,0.0000000
157.9837267,89626.8431501,43172.5644693,0.7122435,0.1265510,8.3333333,0.0000000
158.7154950,89626.2740204,43173.0244435,0.8767136,0.0908197,8.3333333,0.0000000
159.4582220,89625.7099080,43173.5075796,0.8461568,-0.0335161,8.3333333,0.0000000
160.1179711,89625.2240919,43173.9539557,0.8297080,-0.0351317,8.3333333,0.0000000
160.7674061,89624.7440800,43174.3913964,0.8001630,-0.0754212,8.3333333,0.0000000
161.4022575,89624.3031261,43174.8481195,0.7328457,-0.1078833,8.3333333,0.0000000
162.0691603,89623.8737302,43175.3583924,0.6597255,-0.1082348,8.3333333,0.0000000
162.7919436,89623.4520104,43175.9453917,0.5824333,-0.0866903,8.3333333,0.0000000
163.5602541,89623.0541770,43176.6026814,0.5304621,0.0174487,8.3333333,0.0000000
164.3319549,89622.6729434,43177.2736382,0.6093045,0.0480261,8.3333333,0.0000000
165.1658651,89622.1389329,43177.9141372,0.6075734,-0.0700970,8.3333333,0.0000000
166.0469653,89621.6974207,43178.6766361,0.4890874,-0.1031345,8.3333333,0.0000000
166.8739274,89621.3369972,43179.4209218,0.4314133,-0.0785852,8.3333333,0.0000000
167.6631047,89621.0217594,43180.1444036,0.3620828,-0.0988425,8.3333333,0.0000000
168.4858419,89620.7666733,43180.9265977,0.2720876,-0.1389440,8.3333333,0.0000000
169.2872360,89620.5857030,43181.7072911,0.1364196,-0.2030577,8.3333333,0.0000000
170.0317655,89620.5573766,43182.4512815,-0.0418240,-0.2366883,8.3333333,0.0000000
170.8001346,89620.6487646,43183.2141965,-0.2216658,-0.2249175,8.3333333,0.0000000
171.6383176,89620.9088877,43184.0109943,-0.4031656,-0.1883201,8.3333333,0.0000000
172.5023227,89621.3141029,43184.7740838,-0.5422220,-0.1537245,8.3333333,0.0000000
173.3655079,89621.7988842,43185.4882796,-0.6686770,-0.1939543,8.3333333,0.0000000
174.1242496,89622.3166219,43186.0429297,-0.8568017,-0.1997304,8.3333333,0.0000000
175.1627065,89623.1515736,43186.6603829,-1.0276322,-0.1308772,8.3333333,0.0000000
176.3542271,89624.2183764,43187.1910928,-1.1486548,-0.0934803,8.3333333,0.0000000
177.5026090,89625.2843382,43187.6183005,-1.2463670,-0.0815597,8.3333333,0.0000000
178.6911120,89626.4299081,43187.9348585,-1.3392504,-0.0844883,8.3333333,0.0000000
179.9135040,89627.6292411,43188.1711690,-1.4500594,-0.1318126,8.3333333,0.0000000
180.9260822,89628.6413137,43188.2031618,-1.6338477,-0.1558396,8.3333333,0.0000000
182.0359773,89629.7388481,43188.0379789,-1.7808247,-0.1079538,8.3333333,0.0000000
183.0889826,89630.7525851,43187.7530975,-1.8673410,-0.0800050,8.3333333,0.0000000
184.0265834,89631.6420225,43187.4564557,-1.9400831,-0.0966896,8.3333333,0.0000000
184.9914818,89632.5248934,43187.0671383,-2.0512929,-0.1239733,8.3333333,0.0000000
185.9895654,89633.3791541,43186.5509895,-2.1834404,-0.1401526,8.3333333,0.0000000
186.8363742,89634.0300047,43186.0092528,-2.3098594,-0.0740155,8.3333333,0.0000000
187.7050713,89634.6458385,43185.3965675,-2.3104144,-0.0003724,8.3333333,0.0000000
188.6296921,89635.3536132,43184.8016065,-2.3105273,-0.0086149,8.3333333,0.0000000
189.5554130,89636.0114620,43184.1503046,-2.3263548,0.0281024,8.3333333,0.0000000
190.4749344,89636.6963270,43183.5367254,-2.2586715,0.1176796,8.3333333,0.0000000
191.3544162,89637.4000429,43183.0092102,-2.1146489,0.1513250,8.3333333,0.0000000
192.3349476,89638.2809350,43182.5785469,-1.9772051,0.1527260,8.3333333,0.0000000
193.3528969,89639.2336768,43182.2200724,-1.8094290,0.1237661,8.3333333,0.0000000
194.4600969,89640.3319303,43182.0796054,-1.7141837,0.0654478,8.3333333,0.0000000
195.7118629,89641.5681639,43181.8830234,-1.6550397,0.1041957,8.3333333,0.0000000
197.0115298,89642.8677124,43181.8654757,-1.4483353,0.1570189,8.3333333,0.0000000
198.1673036,89643.9799082,43182.1798535,-1.2694891,0.0664273,8.3333333,0.0000000
199.4858351,89645.2298578,43182.5995576,-1.2839738,-0.0050841,8.3333333,0.0000000
200.7879358,89646.4917276,43182.9207287,-1.2828126,0.0389593,8.3333333,0.0000000
201.9927528,89647.6315860,43183.3109935,-1.1863060,0.0696835,8.3333333,0.0000000
203.1294464,89648.6588527,43183.7976098,-1.1196480,0.0340721,8.3333333,0.0000000
204.1802546,89649.6001400,43184.2647031,-1.1117733,0.0248513,8.3333333,0.0000000
