s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
135.0729713,89642.6301354,43151.9833044,0.6048146,-0.0053246,9.1666667,0.0000000
136.0510206,89642.0763455,43152.7894664,0.5994643,0.0111364,9.1666667,0.0000000
137.0284793,89641.5268407,43153.5978413,0.6265920,0.0143696,9.1666667,0.0000000
138.0420647,89640.9093144,43154.4015929,0.6280747,-0.0137113,9.1666667,0.0000000
139.0357985,89640.3478039,43155.2214787,0.5990690,-0.0159083,9.1666667,0.0000000
140.0327187,89639.7868379,43156.0455946,0.5964068,0.0230513,9.1666667,0.0000000
141.0398600,89639.2221770,43156.8795561,0.6452652,0.0286181,9.1666667,0.0000000
142.1301999,89638.5268522,43157.7194159,0.6564327,-0.0109806,9.1666667,0.0000000
143.1634182,89637.9270226,43158.5606914,0.6219472,-0.0207387,9.1666667,0.0000000
144.2052491,89637.3178932,43159.4058974,0.6133988,0.0013106,9.1666667,0.0000000
145.2421790,89636.7304578,43160.2603816,0.6246716,0.0220908,9.1666667,0.0000000
146.2974458,89636.0946135,43161.1025752,0.6596170,0.0221823,9.1666667,0.0000000
147.3993805,89635.4085998,43161.9649239,0.6725234,0.0099335,9.1666667,0.0000000
148.4882697,89634.7298138,43162.8163517,0.6813796,0.0101435,9.1666667,0.0000000
149.6080019,89634.0175130,43163.6803121,0.6949266,0.0085367,9.1666667,0.0000000
150.6918678,89633.3188075,43164.5089109,0.7001910,0.0017452,9.1666667,0.0000000
151.8100428,89632.5985977,43165.3642548,0.6987696,-0.0020876,9.1666667,0.0000000
152.9275057,89631.8806758,43166.2205909,0.6955240,-0.0131978,9.1666667,0.0000000
154.0337329,89631.1736877,43167.0714177,0.6694218,-0.0198779,9.1666667,0.0000000
155.1145903,89630.5239152,43167.9351587,0.6520493,-0.0058501,9.1666667,-10.8388755
156.2002173,89629.8590620,43168.7933872,0.6567476,0.0035211,7.7777778,0.0000000
157.2508576,89629.2196332,43169.6270393,0.6595713,0.0127604,7.7777778,0.0000000
158.2664596,89628.5929321,43170.4262221,0.6831137,0.0414689,7.7777778,0.0000000
159.2364350,89627.9665295,43171.1668112,0.7419111,-0.0031557,7.7777778,0.0000000
160.1947699,89627.2910239,43171.8465889,0.6770285,-0.0469991,7.7777778,0.0000000
161.0409041,89626.8431501,43172.5644693,0.6571026,0.0637519,7.7777778,0.0000000
161.8369185,89626.2932118,43173.1399750,0.7817186,0.0986290,7.7777778,0.0000000
162.6096775,89625.7381551,43173.6776260,0.8118293,0.0072413,7.7777778,0.0000000
163.3507011,89625.1949542,43174.1816585,0.7926804,-0.0569421,7.7777778,0.0000000
164.0716813,89624.6973464,43174.7033853,0.7285797,-0.0880626,7.7777778,0.0000000
164.7985371,89624.2314953,43175.2613299,0.6651801,-0.0814381,7.7777778,0.0000000
165.5771598,89623.7685673,43175.8873898,0.6059764,-0.0717964,7.7777778,0.0000000
166.4278852,89623.3038767,43176.5999881,0.5481988,-0.0522517,7.7777778,0.0000000
167.3333336,89622.8537140,43177.3856027,0.5142134,-0.0252588,7.7777778,0.0000000
168.2410995,89622.4120638,43178.1786878,0.5023992,-0.0198521,7.7777778,0.0000000
169.1572821,89621.9754429,43178.9841397,0.4780041,-0.0447599,7.7777778,0.0000000
170.1293835,89621.5435821,43179.8550458,0.4178798,-0.0754265,7.7777778,0.0000000
171.0184141,89621.2208960,43180.6834473,0.3376254,-0.1064767,7.7777778,0.0000000
171.8344218,89620.9791444,43181.4628219,0.2363330,-0.1428053,7.7777778,0.0000000
172.6554308,89620.8383971,43182.2716766,0.1038507,-0.2058549,7.7777778,0.0000000
173.4357369,89620.8135543,43183.0515871,-0.0933055,-0.2791353,7.7777778,0.0000000
174.1741314,89620.9787251,43183.7712712,-0.3200722,-0.2596770,7.7777778,0.0000000
174.9589599,89621.2908033,43184.4913843,-0.4888516,-0.2076279,7.7777778,0.0000000
175.7768911,89621.7290962,43185.1819716,-0.6528498,-0.1651958,7.7777778,0.0000000
176.6826723,89622.3342743,43185.8559144,-0.7736017,-0.1284555,7.7777778,0.0000000
177.5745728,89622.9840457,43186.4668839,-0.8837719,-0.1486198,7.7777778,0.0000000
178.3410851,89623.6130451,43186.9049488,-1.0200746,-0.1454287,7.7777778,0.0000000
179.3464263,89624.4920155,43187.3929263,-1.1414503,-0.1086809,7.7777778,0.0000000
180.4546319,89625.5295360,43187.7823754,-1.2497766,-0.0987041,7.7777778,0.0000000
181.4592714,89626.4953214,43188.0590685,-1.3499967,-0.1178914,7.7777778,0.0000000
182.4573454,89627.4802960,43188.2202414,-1.4858794,-0.1374355,7.7777778,0.0000000
183.4399159,89628.4628463,43188.2265474,-1.6222075,-0.1535667,7.7777778,0.0000000
184.3250178,89629.3420391,43188.1244425,-1.7726918,-0.1609708,7.7777778,0.0000000
185.3229742,89630.3015715,43187.8501896,-1.9253249,-0.1279172,7.7777778,0.0000000
186.2533758,89631.1448537,43187.4570965,-2.0193620,-0.0715993,7.7777778,-4.8417144
187.1139525,89631.9152350,43187.0735539,-2.0535577,-0.0507430,7.2222222,0.0000000
188.0526558,89632.7381886,43186.6219886,-2.1106629,-0.0695528,7.2222222,0.0000000
189.0700859,89633.5920436,43186.0687293,-2.1896124,-0.0778152,7.2222222,0.0000000
189.9664750,89634.2954170,43185.5130503,-2.2595870,-0.0483877,7.2222222,0.0000000
190.8999408,89635.0044436,43184.9058933,-2.2781548,0.0057219,7.2222222,0.0000000
191.8444170,89635.7228047,43184.2927109,-2.2488416,0.0392845,7.2222222,0.0000000
192.8594085,89636.5299000,43183.6772396,-2.2011782,0.0496635,7.2222222,0.0000000
193.8584131,89637.3493472,43183.1058233,-2.1488195,0.0837198,7.2222222,0.0000000
194.7976309,89638.1524230,43182.6187921,-2.0389105,0.1110530,7.2222222,0.0000000
195.8145816,89639.0902909,43182.2256096,-1.9315812,0.1034720,7.2222222,0.0000000
196.8323886,89640.0549376,43181.9009749,-1.8283700,0.1218354,7.2222222,0.0000000
197.8509772,89641.0550857,43181.7080332,-1.6834760,0.1312082,7.2222222,0.0000000
198.8966901,89642.1000902,43181.6695475,-1.5575168,0.1108734,7.2222222,0.0000000
200.0530523,89643.2544692,43181.7372418,-1.4393244,0.1135002,7.2222222,0.0000000
201.1259202,89644.3037552,43181.9609483,-1.3044986,0.1062508,7.2222222,0.0000000
202.2399117,89645.3610329,43182.3118626,-1.2069690,0.1118887,7.2222222,0.0000000
203.3975287,89646.4247475,43182.7685773,-1.0503312,0.1214080,7.2222222,0.0000000
204.5192205,89647.3250736,43183.4376105,-0.9302426,0.0674458,7.2222222,0.0000000
205.5877155,89648.1807605,43184.0775179,-0.9026122,0.0318535,7.2222222,0.0000000
206.6273129,89648.9792385,43184.7432474,-0.8630924,0.0302950,7.2222222,0.0000000
207.6674003,89649.7608948,43185.4293925,-0.8396082,0.0117242,7.2222222,0.0000000
208.6884670,89650.5134330,43186.1195110,-0.8389270,-0.0159702,7.2222222,0.0000000
209.6596310,89651.2428856,43186.7606493,-0.8714246,-0.0491177,7.2222222,0.0000000
210.6115913,89651.9847449,43187.3572005,-0.9333864,-0.0820215,7.2222222,0.0000000
211.5742618,89652.7803517,43187.8991824,-1.0284655,-0.1031506,7.2222222,0.0000000
212.5916556,89653.6781992,43188.3776800,-1.1376313,-0.1173184,7.2222222,0.0000000
213.5791754,89654.5971049,43188.7393532,-1.2636787,-0.1367991,7.2222222,0.0000000
214.5678344,89655.5575809,43188.9737302,-1.4079708,-0.1888720,7.2222222,0.0000000
215.4722218,89656.4591361,43189.0452475,-1.6212223,-0.2343768,7.2222222,0.0000000
216.5509935,89657.5243048,43188.8744721,-1.8727774,-0.1960632,7.2222222,0.0000000
217.5625407,89658.4331319,43188.4303316,-2.0310568,-0.1137185,7.2222222,0.0000000
218.4969526,89659.2677305,43188.0101282,-2.0940690,-0.1458441,7.2222222,0.0000000
219.4929120,89660.1026635,43187.4671529,-2.3125901,-0.2362569,7.2222222,0.0000000
220.4527988,89660.6893206,43186.7074056,-2.5561511,-0.1819173,7.2222222,0.0000000
221.5581125,89661.2412516,43185.7497572,-2.6882858,-0.1235231,7.2222222,0.0000000
222.7178321,89661.6789865,43184.6758216,-2.8359349,-0.1354649,7.2222222,0.0000000
223.8506171,89661.9287755,43183.5709201,-2.9988399,-0.1690318,7.2222222,0.0000000
224.8256094,89661.9777537,43182.5971587,3.0909690,-0.1923236,7.2222222,0.0000000
225.9104908,89661.8250179,43181.5230826,2.8881832,-0.1677912,7.2222222,0.0000000
226.8773793,89661.4669904,43180.6249236,2.7467001,-0.1148456,7.2222222,0.0000000
227.7799427,89661.1059163,43179.7977319,2.6734849,-0.0952878,7.2222222,0.0000000
228.8553890,89660.5757119,43178.8620674,2.5582199,-0.1203033,7.2222222,0.0000000
229.8232546,89659.9832505,43178.0967221,2.4276678,-0.1194661,7.2222222,0.0000000
230.7733911,89659.3217408,43177.4146927,2.3290838,-0.0983395,7.2222222,0.0000000
231.7372632,89658.5948821,43176.7816635,2.2394451,-0.0979988,7.2222222,0.0000000
232.6979077,89657.8133844,43176.2230050,2.1404835,-0.1031495,7.2222222,0.0000000
233.6255089,89657.0069836,43175.7645712,2.0446734,-0.1018229,7.2222222,0.0000000
234.4905180,89656.2198947,43175.4057789,1.9579548,-0.0865270,7.2222222,0.0000000
235.3562650,89655.4056444,43175.1116458,1.8949163,-0.0557658,7.2222222,0.0000000
236.2176834,89654.5830779,43174.8558607,1.8616380,-0.0103851,7.2222222,0.0000000
237.1391294,89653.6977456,43174.6004211,1.8764010,0.0302970,7.2222222,0.0000000
238.0530595,89652.8332823,43174.3038212,1.9172443,0.0389951,7.2222222,0.0000000
239.0128523,89651.9355634,43173.9642585,1.9494671,0.0334776,7.2222222,0.0000000
240.0759834,89650.9539154,43173.5560733,1.9849670,0.0254959,7.2222222,0.0000000
241.0861288,89650.0379852,43173.1300855,2.0023271,0.0255709,7.2222222,0.0000000
242.1476994,89649.0721337,43172.6895598,2.0379425,0.0668052,7.2222222,0.0000000
243.1938926,89648.1575226,43172.1816160,2.1431367,0.1098884,7.2222222,0.0000000
244.3163564,89647.2527140,43171.5173523,2.2762527,0.1202038,7.2222222,0.0000000
245.4182494,89646.4685765,43170.7432098,2.4105129,0.1425041,7.2222222,0.0000000
246.3875160,89645.8727536,43169.9787015,2.5714015,0.1916327,7.2222222,0.0000000
247.4513946,89645.3753115,43169.0382820,2.8001300,0.2371595,7.2222222,0.0000000
248.4645673,89645.1848956,43168.0431635,3.0639940,0.2418714,7.2222222,0.0000000
249.4259517,89645.2232434,43167.0825443,-3.0054664,0.2016786,7.2222222,0.0000000
250.4640529,89645.4550758,43166.0706610,-2.8159380,0.2002604,7.2222222,0.0000000
251.4509852,89645.8676763,43165.1741142,-2.5999324,0.2199360,7.2222222,0.0000000
252.2696044,89646.3791138,43164.5349201,-2.4188322,0.1462862,7.2222222,0.0000000
253.2361082,89647.0473103,43163.8366056,-2.3387935,0.0891667,7.2222222,0.0000000
254.0992343,89647.6940270,43163.2649902,-2.2556901,0.0984892,7.2222222,0.0000000
254.9755460,89648.3934751,43162.7370750,-2.1674776,0.1131653,7.2222222,0.0000000
255.8621643,89649.1505403,43162.2756160,-2.0561875,0.1456866,7.2222222,0.0000000
256.7054345,89649.9204563,43161.9316190,-1.9154560,0.1522788,7.2222222,0.0000000
257.5738976,89650.7571478,43161.6988627,-1.7955269,0.1039767,7.2222222,0.0000000
258.5511110,89651.7179863,43161.5207183,-1.7235487,0.0698984,7.2222222,0.0000000
259.5052523,89652.6651003,43161.4051304,-1.6605283,0.0480828,7.2222222,0.0000000
260.5291606,89653.6871549,43161.3435451,-1.6284384,0.0441258,7.2222222,0.0000000
261.5921237,89654.7484993,43161.2849057,-1.5684435,0.0514207,7.2222222,-4.2535011
262.7145651,89655.8691275,43161.3486788,-1.5160634,0.0340836,6.5277778,0.0000000
263.8902745,89657.0432037,43161.4106272,-1.4901144,0.0431533,6.5277778,0.0000000
265.0011419,89658.1473228,43161.5328879,-1.4173901,0.0949162,6.5277778,0.0000000
266.0247147,89659.1504493,43161.7364518,-1.2875215,0.1283699,6.5277778,0.0000000
267.1742870,89660.2274532,43162.1384208,-1.1384236,0.1236816,6.5277778,0.0000000
268.1277709,89661.0534688,43162.6146875,-1.0274121,0.1021610,6.5277778,0.0000000
269.0736701,89661.8529168,43163.1202645,-0.9443808,0.1147180,6.5277778,0.0000000
270.1553761,89662.6932959,43163.8013304,-0.7948092,0.1586168,6.5277778,0.0000000
271.0419787,89663.2500374,43164.4913327,-0.6321740,0.0935049,6.5277778,0.0000000
271.9857769,89663.7737701,43165.2764818,-0.6236577,0.0100535,6.5277778,0.0000000
272.9173286,89664.3445622,43166.0126780,-0.6133202,0.0050113,6.5277778,0.0000000
273.9321327,89664.8929677,43166.8665391,-0.6139039,-0.0413108,6.5277778,0.0000000
274.8766792,89665.4721512,43167.6126722,-0.6942625,-0.0798813,6.5277778,0.0000000
275.6934704,89666.0191438,43168.2192585,-0.7546018,-0.1003008,6.5277778,0.0000000
276.6231796,89666.6682738,43168.8848331,-0.8694379,-0.1667418,6.5277778,0.0000000
277.5124234,89667.4019959,43169.3872337,-1.0578973,-0.1739020,6.5277778,0.0000000
278.3734980,89668.1873447,43169.7403297,-1.1738217,-0.1199012,6.5277778,0.0000000
279.2874538,89669.0384875,43170.0733027,-1.2707257,-0.1350754,6.5277778,0.0000000
280.2482752,89669.9738322,43170.2930934,-1.4270579,-0.1754997,6.5277778,0.0000000
281.1441274,89670.8685492,43170.3381796,-1.5965713,-0.2071805,6.5277778,0.0000000
281.9661753,89671.6857410,43170.2489592,-1.7829734,-0.2030616,6.5277778,0.0000000
282.7700652,89672.4493385,43169.9976468,-1.9267369,-0.1698280,6.5277778,0.0000000
283.5527815,89673.1717953,43169.6964809,-2.0524236,-0.1510777,6.5277778,0.0000000
284.4321949,89673.9174682,43169.2302835,-2.1778476,-0.1199811,6.5277778,0.0000000
285.2737623,89674.5835718,43168.7159474,-2.2589087,-0.0770537,6.5277778,3.0917857
286.1815591,89675.2681721,43168.1197785,-2.3126426,-0.0614339,6.9444444,0.0000000
287.1620902,89675.9752742,43167.4404789,-2.3749161,-0.0838114,6.9444444,0.0000000
288.1356391,89676.6227800,43166.7134757,-2.4764168,-0.0932057,6.9444444,0.0000000
289.0676181,89677.1489663,43165.9442470,-2.5525222,-0.0639661,6.9444444,0.0000000
290.0650124,89677.6946583,43165.1093724,-2.5998313,-0.0608821,6.9444444,0.0000000
291.0342937,89678.1623543,43164.2603925,-2.6722575,-0.0711323,6.9444444,0.0000000
292.0279079,89678.5819567,43163.3597245,-2.7394566,-0.0685692,6.9444444,0.0000000
293.0319055,89678.9437463,43162.4231779,-2.8092322,-0.0691363,6.9444444,0.0000000
294.0617409,89679.2451202,43161.4384268,-2.8800683,-0.0683216,6.9444444,0.0000000
295.0810989,89679.4732356,43160.4449209,-2.9492365,-0.0928916,6.9444444,0.0000000
296.0461802,89679.6242671,43159.4917307,-3.0644060,-0.1189174,6.9444444,0.0000000
296.9609733,89679.6177041,43158.5769611,3.1103990,-0.0929745,6.9444444,0.0000000
297.9205606,89679.5658239,43157.6187774,3.0445097,-0.0804507,6.9444444,0.0000000
298.8080728,89679.4388426,43156.7403960,2.9617986,-0.0951387,6.9444444,0.0000000
